學校名稱,平台使用量,自我練習平均成績,影片使用量,累積影片總時數,完成老師指派影片數,自我點播影片數,自我練習題目數,自我測驗卷數
中正國小,2.71,74.38,0.05,0.0,0.0,0.05,2.46,0.24
多年國小,4.11,63.09,4.33,9686.11,4.11,0.22,0.0,0.0
湖埔國小,14.0,0.0,2.0,760.0,0.0,2.0,13.0,1.0
烈嶼國中,22.21,6.25,1.0,320.08,0.0,1.0,20.21,2.0
金城國中,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
金寧國中,6.92,48.89,4.51,8832.93,3.85,0.66,2.83,0.24
金沙國中,15.17,0.0,1.17,2302.67,0.0,1.17,13.33,1.83
金湖國中,11.21,0.0,3.21,3108.07,0.64,2.57,9.43,1.14
金鼎國小,1.5,34.38,0.88,36.5,0.0,0.88,1.25,0.25
