學校名稱_標準,平台使用量,自我練習平均成績,影片使用量,累積影片總時數,總得分率,平台使用量排名,測驗得分率排名
中正國小,2.71,74.38,0.05,0.0,0.562,7.0,4.0
多年國小,4.11,63.09,4.33,9686.11,0.604,6.0,1.0
湖埔國小,14.0,0.0,2.0,760.0,0.581,3.0,3.0
烈嶼國中,22.21,6.25,1.0,320.08,0.462,1.0,9.0
金城國中,0.0,0.0,1.0,0.0,0.559,9.0,5.5
金寧國中,6.92,48.89,4.51,8832.93,0.559,5.0,5.5
金沙國中,15.17,0.0,1.17,2302.67,0.484,2.0,7.0
金湖國中,11.21,0.0,3.21,3108.07,0.474,4.0,8.0
金鼎國小,1.5,34.38,0.88,36.5,0.59,8.0,2.0
